GTM01,GTM02,GTM03,GTM04,GTM05,GTM06,GTM07,GTM08,GTM09,GTM10,GTM11,GTM12,GTM13,GTM14,GTM15,GTM16,GTM17,GTM18,GTM19,GTM20
20,20,10,10,5,40,40,10,20,20,5,10,10,10,20,5,5,5,20,5
JES,INDOGAS,SPBG,SPBG,SPBG,SPBG,INDOGAS,JES,JES,PURWAKARTA,SPBG,INDOGAS,JES,PURWAKARTA,SPBG,SPBG,JES,INDOGAS,INDOGAS,SPBG
StandBy,StandBy,OUT,StandBy,IN,IN,StandBy,StandBy,IN,CONNECT,StandBy,IN,CONNECT,OUT,IN,IN,StandBy,IN,CONNECT,CONNECT
TS,free,MC,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
